Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,500,R_0603_1608Metric,-19.5,-12.0,0.0,bottom
R10,10K,R_0603_1608Metric,19.5,-20.0,180.0,bottom
R2,500,R_0603_1608Metric,-19.5,-22.0,0.0,bottom
R3,500,R_0603_1608Metric,19.5,-12.0,180.0,bottom
R4,500,R_0603_1608Metric,19.5,-17.0,180.0,bottom
R5,500,R_0603_1608Metric,19.5,-22.0,180.0,bottom
R6,10K,R_0603_1608Metric,-19.5,-10.0,0.0,bottom
R7,10K,R_0603_1608Metric,-19.5,-20.0,0.0,bottom
R8,10K,R_0603_1608Metric,19.5,-10.0,180.0,bottom
R9,10K,R_0603_1608Metric,19.5,-15.0,180.0,bottom
